"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"EMF Code Generation","Generate Code","⌥⇧G","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks View"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Edit","Find Next","⌘K","Editing Text"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥⇧T","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Terminal view commands","Quick Access","⌥→","Terminal Control in Focus"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Terminal view commands","Copy","⌘C","Terminal Control in Focus"
"File","Close All","⇧⌘W","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"File","Properties","⌘I","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Edit","Next Sibling","⌃⇧↓","Editing in Structured Text Editors"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"File","Save All","⇧⌘S","In Windows"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Git","Commit...","⌥⌘3","In Windows"
"Edit","Select Next Element","⌃⇧→","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Text Editing","Text Start","⌘↖","Editing Text"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Database Tools","Run","⌥⌘R","Editing SQL"
"View","Zoom Out","⌘-","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Run/Debug","Terminate","⌘F2","Debugging"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Edit","Restore Last Selection","⌃⇧↓","Editing JavaScript Source"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Task Editor","Submit Task","⌥⇧S","In Tasks Editor"
"Text Editing","Line Start","⌘←","Editing Text"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Edit","Move","⌥⇧V","Editing JSP Source"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Navigate","Next","⌘.","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Navigate","Open Type","⇧⌘T","In Windows"
"Navigate","Previous Page","⌥⇧F7","In Windows"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks View"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Search","Declaration in Workspace","⌘G","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Zoom In","⌘+","Editing Text"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
